created_time,_id,positive,negative,neutral,compound,subjectivity,flair,flair score,aspect terms,aspect tb polarity,aspect tb subjectivity,aspect flair
2017-03-11T19:38:43+0000,,0,0,1,0,0,NEGATIVE,-0.996258854866028,,0,0,0
2016-06-24T20:05:26+0000,,0,0.444,0.556,-0.296,0,POSITIVE,0.732786774635315,,0,0,0
2016-11-20T21:16:55+0000,,0,0,1,0,0.5,POSITIVE,0.984777450561523,,0,0,0
2017-03-14T21:22:14+0000,,0,0,1,0,0.5125,POSITIVE,0.809808731079102,whole/able/,0.35,0.5125,0.991108149290085
2016-05-14T19:57:21+0000,,0,0,1,0,0,NEGATIVE,-0.942057847976685,,0,0,0
2016-11-17T09:55:09+0000,,0,0.276,0.724,-0.7906,0.6875,NEGATIVE,-0.99824845790863,,0,0,0
2016-11-13T12:51:45+0000,,0.324,0,0.676,0.7717,0.55,POSITIVE,0.994796335697174,ready/,0.2,0.5,0.947478294372559
2016-06-22T09:52:27+0000,,0,0,1,0,0,NEGATIVE,-0.992923855781555,,0,0,0
2016-10-24T17:31:05+0000,,0,0.306,0.694,-0.296,0,NEGATIVE,-0.999969124794006,,0,0,0
2016-05-31T21:57:08+0000,,0.356,0,0.644,0.6844,0.4,NEGATIVE,-0.997118234634399,alive/,0.1,0.4,0.999051630496979
2017-03-23T11:24:35+0000,,0,0.328,0.672,-0.5994,0,NEGATIVE,-0.99976259469986,barbaric/,0,0,-0.999966979026794
2016-06-21T11:07:25+0000,,0,0,1,0,0,NEGATIVE,-0.631759166717529,,0,0,0
2016-12-27T16:05:26+0000,,0.079,0.034,0.888,0.4997,0.8,POSITIVE,0.998332440853119,prepared/,0,0,0.991618990898132
2017-01-23T16:42:43+0000,,0,0,1,0,0,POSITIVE,0.958607792854309,,0,0,0
2016-09-24T14:51:11+0000,,0,0.32,0.68,-0.5106,0,NEGATIVE,-0.994632363319397,,0,0,0
2016-08-12T01:34:43+0000,,0,0.206,0.794,-0.6917,0.416666666666667,NEGATIVE,-0.997079133987427,total/Christian/Islamic/,0,0.25,0.986100157101949
2016-07-25T11:14:57+0000,,0,0,1,0,0,NEGATIVE,-0.998587906360626,,0,0,0
2016-05-31T19:32:18+0000,,0.223,0,0.777,0.9098,0.666666666666667,POSITIVE,0.988029897212982,quite happy/,0.8,1,0.993886172771454
2017-02-02T00:45:57+0000,,0,0.317,0.683,-0.5023,0.9,NEGATIVE,-0.913868069648743,careless/,-0.5,0.9,-0.999060094356537
2017-02-10T09:38:51+0000,,0.073,0,0.927,0.0258,0.6875,NEGATIVE,-0.99997091293335,Silly/little/,-0.34375,0.6875,-0.761636674404144
2016-07-25T16:46:12+0000,,0.074,0.111,0.815,-0.1078,0,NEGATIVE,-0.995503485202789,Celtic/,0,0,0.992025434970856
2017-03-15T00:04:12+0000,,0.159,0,0.841,0.624,0.23125,NEGATIVE,-0.998667716979981,quite previously clear/financial/other/,-0.00833333333333333,0.252777777777778,0.94888703028361
2016-05-31T06:08:35+0000,,0,0,1,0,0,NEGATIVE,-0.964743971824646,,0,0,0
2016-07-01T12:06:51+0000,,0,0,1,0,0,POSITIVE,0.575952768325806,,0,0,0
2017-02-23T01:10:48+0000,,0,0.2,0.8,-0.6705,0,NEGATIVE,-0.997225701808929,,0,0,0
2017-03-11T08:07:17+0000,,0.116,0.24,0.644,-0.4404,0.55,NEGATIVE,-0.998015642166138,extra/stupid/,-0.4,0.55,0.00234591960906982
2016-11-27T17:38:44+0000,,0,0,1,0,0,NEGATIVE,-0.992839932441711,,0,0,0
2016-03-08T10:16:17+0000,,0,0.281,0.719,-0.5994,0.8,NEGATIVE,-0.999702990055084,disastrous/,-0.7,0.8,-0.99994707107544
2016-12-04T06:22:06+0000,,0.198,0,0.802,0.6369,0.441666666666667,POSITIVE,0.977014482021332,Many/able/,0.5,0.5625,0.957658141851425
2016-06-24T20:00:02+0000,,0,0,1,0,0,POSITIVE,0.998131930828095,,0,0,0
2017-01-04T03:35:01+0000,,0.162,0,0.838,0.4404,1,POSITIVE,0.937896907329559,pleased/,0.5,1,0.982549667358398
2017-01-09T23:29:38+0000,,0,0,1,0,0,NEGATIVE,-0.966235995292664,barbaric/,0,0,-0.999966979026794
2017-02-28T15:34:55+0000,,0,0.713,0.287,-0.8155,0.95,NEGATIVE,-0.999442398548126,so cruel/wrong/,-0.75,0.95,-0.997079223394394
2017-03-26T12:38:48+0000,,0.286,0,0.714,0.34,0,NEGATIVE,-0.97410923242569,,0,0,0
2016-11-20T22:44:19+0000,,0,0,1,0,0,NEGATIVE,-0.936221599578857,,0,0,0
2016-06-22T21:53:24+0000,,0.128,0.065,0.807,0.4215,0.407142857142857,NEGATIVE,-0.999745190143585,pure/British/,0.107142857142857,0.25,0.977240443229675
