created_time,_id,positive,negative,neutral,compound,subjectivity,flair,flair score,aspect terms,aspect tb polarity,aspect tb subjectivity,aspect flair
2016-05-23T18:22:35+0000,,0,0,1,0,0,NEGATIVE,-0.997902870178223,,0,0,0
2016-06-13T18:07:35+0000,,0,0.055,0.945,-0.1027,0.625,NEGATIVE,-0.990713953971863,able/upcoming/,0.25,0.3125,0.995810866355896
2016-08-11T10:42:28+0000,,0.124,0,0.876,0.34,0,POSITIVE,0.550458014011383,,0,0,0
2016-06-22T21:50:41+0000,,0,0,1,0,0,POSITIVE,0.849696099758148,,0,0,0
2016-06-13T18:07:35+0000,,0,0.055,0.945,-0.1027,0.625,NEGATIVE,-0.990713953971863,able/upcoming/,0.25,0.3125,0.995810866355896
2016-06-22T21:02:47+0000,,0,0,1,0,0,NEGATIVE,-0.98403000831604,diwar/,0,0,-0.872213006019592
2016-06-21T12:11:04+0000,,0,0,1,0,0.4,POSITIVE,0.993470191955566,human/,0,0.1,0.999119579792023
2016-06-21T12:11:04+0000,,0,0.307,0.693,-0.4767,0,NEGATIVE,-0.991643846035004,,0,0,0
2016-06-21T12:11:04+0000,,0,0.433,0.567,-0.7469,0,POSITIVE,0.843389272689819,,0,0,0
2017-01-12T21:54:19+0000,,0.067,0,0.933,0.3612,0.38,NEGATIVE,-0.847263038158417,horizontal/wide/more/wider/post/-/Brexit/industrial/British/fit/global/,0.0727272727272727,0.118181818181818,0.579099703918804
2016-08-11T10:42:28+0000,,0.107,0,0.893,0.2846,0.344166666666667,POSITIVE,0.884128093719482,very least/fun/broad/,-0.00916666666666668,0.344166666666667,-0.20540056626002
2016-06-22T21:02:47+0000,,0,0,1,0,0,POSITIVE,0.997173070907593,,0,0,0
2016-06-30T23:28:57+0000,,0,0.138,0.862,-0.34,0,NEGATIVE,-0.999432146549225,disorderly/,0,0,-0.999188244342804
2016-05-31T06:11:29+0000,,0,0.167,0.833,-0.296,0,NEGATIVE,-0.997756659984589,unchecked/unhindered/,0,0,-0.934617340564728
2016-07-15T13:53:39+0000,,0.294,0.334,0.371,-0.1027,0.175,NEGATIVE,-0.584569394588471,,0,0,0
2016-06-27T15:40:39+0000,,0.353,0,0.647,0.8979,0.65,POSITIVE,0.990967690944672,best/,1,0.3,0.996064603328705
2016-05-31T06:11:29+0000,,0,0,1,0,1,NEGATIVE,-0.997136354446411,,0,0,0
2016-06-13T18:07:35+0000,,0,0,1,0,0.2,POSITIVE,0.868959546089172,,0,0,0
2016-07-25T16:44:18+0000,,0.156,0,0.844,0.34,0,NEGATIVE,-0.998316884040833,,0,0,0
2016-07-14T07:49:18+0000,,0,0,1,0,0,NEGATIVE,-0.537763297557831,,0,0,0
2016-06-22T21:02:47+0000,,0.5,0,0.5,0.25,1,POSITIVE,0.975459218025208,necessary/,0,1,0.959552109241486
2016-06-22T21:50:41+0000,,0.212,0.166,0.622,-0.0258,0.5,NEGATIVE,-0.995410144329071,several/,0,0,0.823158323764801
2016-09-14T20:47:50+0000,,0.086,0,0.914,0.128,0.133333333333333,NEGATIVE,-0.963134765625,politically incompatible/diverse/legal/,0.0666666666666667,0.1,0.330667018890381
2017-01-07T12:35:22+0000,,0,0,1,0,0.5,POSITIVE,0.917322218418121,,0,0,0
2016-06-22T21:02:47+0000,,0.122,0,0.878,0.3612,0,NEGATIVE,-0.997961759567261,,0,0,0
2016-07-25T16:44:18+0000,,0,0,1,0,0,NEGATIVE,-0.970543801784515,Mezheven/,0,0,0.776646614074707
2016-12-08T11:00:00+0000,,0.432,0,0.568,0.5859,0.6,POSITIVE,0.989467084407806,,0,0,0
2016-06-08T06:18:30+0000,,0,0,1,0,0,POSITIVE,0.94075870513916,,0,0,0
2016-11-09T21:37:27+0000,,0,0,1,0,0,NEGATIVE,-0.97297477722168,,0,0,0
2015-09-19T12:55:17+0000,,0,0,1,0,0.216666666666667,NEGATIVE,-0.980348885059357,Thee/haughty/,0,0,-0.00218626856803894
2016-11-09T21:37:27+0000,,0,0,1,0,0,NEGATIVE,-0.920262038707733,,0,0,0
2016-06-13T18:07:35+0000,,0,0,1,0,0.266931216931217,POSITIVE,0.577403903007507,such/most iconic/political/UKs/,0.125,0.275,0.493807822465897
2016-06-22T21:02:47+0000,,0,0,1,0,0.5,NEGATIVE,-0.996145248413086,biological/onlyA/,0,0,0.960061132907867
2017-01-12T21:54:19+0000,,0,0,1,0,0,POSITIVE,0.972732186317444,,0,0,0
2016-03-14T21:47:06+0000,,0,0,1,0,0,NEGATIVE,-0.979060053825378,,0,0,0
2016-06-25T12:54:06+0000,,0.194,0,0.806,0.6249,0.75,POSITIVE,0.998953223228455,industrial/great/,0.4,0.375,0.939996331930161
2016-07-15T13:53:39+0000,,0.137,0.049,0.814,0.5719,0.65,NEGATIVE,-0.975098073482513,best/,1,0.3,0.996064603328705
2016-06-28T15:57:08+0000,,0.258,0.176,0.566,0.5574,0.7,NEGATIVE,-0.998412847518921,collective/collectively worse/,-0.2,0.3,-0.00126516819000244
2017-01-18T01:26:19+0000,,0,0.286,0.714,-0.0516,0,POSITIVE,0.803626835346222,,0,0,0
2016-07-27T09:43:16+0000,,0.057,0.062,0.881,-0.0772,0.4,NEGATIVE,-0.943996727466583,illegal/,-0.5,0.5,-0.973088324069977
2016-06-22T22:05:13+0000,,0.351,0,0.649,0.4019,0.333333333333333,POSITIVE,0.790080785751343,,0,0,0
2016-07-15T13:53:39+0000,,0,0,1,0,0,POSITIVE,0.942158401012421,armed/genocidal/political/bent/,0,0.025,0.411313489079475
2016-07-16T18:39:10+0000,,0.071,0.342,0.587,-0.8775,0.84,NEGATIVE,-0.99947863817215,Conservative/bad/mad/easy/completely confused/totally bored/,-0.298611111111111,0.7,-0.697077323993047
2017-02-12T22:33:20+0000,,0,0,1,0,0,POSITIVE,0.998391091823578,,0,0,0
2016-07-15T13:53:39+0000,,0,0,1,0,0,NEGATIVE,-0.949597656726837,,0,0,0
2016-06-30T23:28:57+0000,,0,0.33,0.67,-0.7845,0,NEGATIVE,-0.916767299175263,ongoing/,0,0,0.98841780424118
2017-03-29T11:30:57+0000,,0,0,1,0,0,NEGATIVE,-0.847883999347687,,0,0,0
2016-11-09T21:37:27+0000,,0,0.583,0.417,-0.4215,0,NEGATIVE,-0.999191582202911,,0,0,0
2017-01-07T12:35:22+0000,,0,0,1,0,0,POSITIVE,0.991340935230255,,0,0,0
2017-03-02T17:39:38+0000,,0.036,0.274,0.691,-0.8834,1,NEGATIVE,-0.999655365943909,nasty/evil/,-1,1,-0.997360199689865
2016-06-22T21:02:47+0000,,0,0,1,0,0.0833333333333333,POSITIVE,0.997742772102356,human/last/,0,0.0833333333333333,0.82043468952179
2017-03-03T11:06:08+0000,,0.244,0,0.756,0.6705,0,NEGATIVE,-0.7757288813591,rapturous/,0,0,0.98936939239502
2016-07-11T18:59:47+0000,,0.773,0,0.227,0.5267,0,POSITIVE,0.993041753768921,,0,0,0
2016-06-27T15:40:39+0000,,0.271,0,0.729,0.3818,0,POSITIVE,0.98955500125885,,0,0,0
2016-05-13T13:24:37+0000,,0.225,0,0.775,0.4939,0.5,POSITIVE,0.953378558158875,,0,0,0
2016-06-08T06:18:30+0000,,0,0,1,0,1,POSITIVE,0.913586020469666,,0,0,0
2016-06-22T21:02:47+0000,,0.167,0,0.833,0.34,0,POSITIVE,0.724402487277985,,0,0,0
2017-03-26T13:11:52+0000,,0,0.245,0.755,-0.6369,0.155555555555556,NEGATIVE,-0.990391373634338,public/overwhelmingly negative/,-0.15,0.233333333333333,-0.0121930241584778
2017-01-07T12:35:22+0000,,0.289,0,0.711,0.7845,0.9,POSITIVE,0.992919147014618,morally superior/virtuous/,0.35,0.45,0.99583774805069
2016-05-31T06:11:29+0000,,0,0,1,0,0,POSITIVE,0.964538633823395,,0,0,0
2016-04-24T07:29:24+0000,,0.189,0,0.811,0.5994,0.25,POSITIVE,0.996940135955811,historical/ever greater/,0.25,0.25,0.996423870325089
2017-01-07T12:35:22+0000,,0,0.072,0.928,-0.1027,0.541666666666667,NEGATIVE,-0.998642861843109,hard/misguided/,-0.145833333333333,0.270833333333333,-0.848115503787994
2017-03-14T02:59:47+0000,,0,0,1,0,0,NEGATIVE,-0.997033953666687,,0,0,0
2016-06-21T12:11:04+0000,,0.206,0.13,0.664,0.3182,0.55,POSITIVE,0.974696099758148,different/greater/,0.25,0.55,0.0442165434360504
2016-06-22T22:05:13+0000,,0,0.2,0.8,-0.0644,0,NEGATIVE,-0.65990823507309,,0,0,0
2016-04-15T19:18:28+0000,,0.667,0,0.333,0.7184,0.3,POSITIVE,0.995264768600464,Good/British/,0.35,0.3,0.943756073713303
2017-01-05T09:49:54+0000,,0.225,0,0.775,0.4404,0.1,POSITIVE,0.68692147731781,medieval/,0,0,0.769038677215576
2016-07-25T16:44:18+0000,,0,0,1,0,1,NEGATIVE,-0.982431828975678,advisory/,0,0,0.979017674922943
2016-09-10T07:49:31+0000,,0,0,1,0,0.6875,POSITIVE,0.949254631996155,,0,0,0
2016-06-22T21:02:47+0000,,0,0,1,0,0,POSITIVE,0.614848434925079,,0,0,0
2016-06-22T22:15:09+0000,,0.394,0,0.606,0.6378,0.272222222222222,POSITIVE,0.633083462715149,prepared/less rich/Irish/,0.0347222222222222,0.136111111111111,0.898722271124522
2016-07-11T18:59:47+0000,,0,0.279,0.721,-0.7845,0.546875,NEGATIVE,-0.986283421516419,whole/erroneous/further/,-0.1,0.5,0.327984054883321
2016-05-31T06:11:29+0000,,0,0,1,0,1,NEGATIVE,-0.998002350330353,only polite/correct/,0,0.5,0.213729202747345
2016-09-10T07:49:31+0000,,0,0,1,0,0.2,POSITIVE,0.996752142906189,European/,0,0,0.992491662502289
